objectid,lad16cd,lad16nm,lad16nmw,bng_e,bng_n,long,lat,st_areasha,st_lengths,population,households,single,double,treble,quadruple,quintuple_plus,household_size
120,E07000087,Fareham,Fareham,453774,106324,-1.23741996,50.85393143,74736668.81,51512.30337,110125,46579,11814,18320,7461,6507,18320,2.4
121,E07000088,Gosport,Gosport,458773,101094,-1.16725004,50.80641174,25233900.03,31555.79397,81766,35430,10566,12879,5516,4309,12879,2.3
122,E07000089,Hart,Hart,477985,154240,-0.88321,51.28197098,215016887.2,70273.25412,89369,35510,7961,12987,5929,6224,12987,2.5
123,E07000090,Havant,Havant,470177,108563,-1.00399995,50.87229919,55438404.27,73589.27449,119422,51311,14675,19352,7797,6230,19352,2.3
124,E07000091,New Forest,New Forest,428999,106521,-1.58936,50.85747147,753474566.3,199484.0841,173491,76839,22210,30783,10849,9194,30783,2.3
125,E07000092,Rushmoor,Rushmoor,486022,153944,-0.76806998,51.27814865,38953501.22,28059.19115,91890,36344,9291,11943,6269,5847,11943,2.5
126,E07000093,Test Valley,Test Valley,434930,137329,-1.50214005,51.13417053,628380727.9,169594.4146,114478,47626,11855,18527,7344,7010,18527,2.4
127,E07000094,Winchester,Winchester,453115,125901,-1.24392998,51.03002167,660591778.8,151932.6111,111542,46865,12837,17404,6713,6846,17404,2.4
128,E07000095,Broxbourne,Broxbourne,534742,204251,-0.05073,51.72079849,51356683.36,35975.49408,93267,37658,10070,12104,6551,6211,12104,2.5
129,E07000096,Dacorum,Dacorum,500084,208745,-0.55097997,51.76845169,211576595.1,101907.1792,142845,59938,17275,20364,9520,8941,20364,2.4
130,E07000098,Hertsmere,Hertsmere,519774,199352,-0.26899001,51.68016815,100508254.4,54885.68886,98478,39778,11148,12427,6598,6479,12427,2.5
131,E07000099,North Hertfordshire,North Hertfordshire,522192,230256,-0.22314,51.95737839,373809458.9,151944.364,125817,53426,15494,18605,8435,7688,18605,2.4
132,E07000102,Three Rivers,Three Rivers,507313,196418,-0.45005,51.65631866,88944088.22,68506.26493,86324,35108,9738,11341,5709,5747,11341,2.5
133,E07000103,Watford,Watford,510441,198197,-0.40428999,51.67169952,21449369.23,23378.11252,89565,36681,11392,11029,5838,5226,11029,2.4
134,E07000105,Ashford,Ashford,597640,140644,0.82337397,51.13095856,580811620.4,133496.8816,116993,47787,12242,17251,7824,6955,17251,2.4
135,E07000106,Canterbury,Canterbury,616026,158096,1.09625697,51.28102875,309147303.7,100822.5236,142562,60771,18085,21695,8932,7743,21695,2.3
136,E07000107,Dartford,Dartford,556167,172917,0.245276,51.43373108,72954202,48102.24256,96376,40081,11643,13168,6498,5987,13168,2.4
137,E07000108,Dover,Dover,628967,150940,1.27692902,51.21173859,314895217.3,119353.0873,109462,48310,15276,17629,7234,5231,17629,2.3
138,E07000109,Gravesham,Gravesham,566969,169115,0.39874399,51.39649963,98987108.55,53919.73386,100976,40431,11131,13015,6732,5978,13015,2.5
139,E07000110,Maidstone,Maidstone,580489,151670,0.58406103,51.23566055,393510174.8,108542.0613,152445,63447,16452,23572,10266,9203,23572,2.4
140,E07000111,Sevenoaks,Sevenoaks,552776,155218,0.188936,51.27563095,369679537.8,118868.9215,113622,47020,12697,16663,7188,7345,16663,2.4
141,E07000112,Shepway,Shepway,610318,134597,1.00079596,51.07215118,357304052.9,136667.5123,106151,47379,15791,16985,6661,4881,16985,2.2
142,E07000113,Swale,Swale,593761,161976,0.77952999,51.32387161,374235033.1,198126.8084,133380,55585,15128,19815,9266,7531,19815,2.4
143,E07000114,Thanet,Thanet,631844,166753,1.32829797,51.35253143,103503205,49955.93487,131755,59513,20646,20566,8516,6281,20566,2.2
144,E07000115,Tonbridge and Malling,Tonbridge and Malling,564014,153898,0.34930599,51.26063919,240872552.2,98327.46148,119401,48140,11553,17521,7955,7748,17521,2.5
145,E07000116,Tunbridge Wells,Tunbridge Wells,573139,136599,0.471632,51.10253906,332066717.7,126470.914,112622,47174,13687,16342,7203,6467,16342,2.4
146,E07000117,Burnley,Burnley,384886,430882,-2.23079991,53.7740593,111019834.4,52540.58575,86117,37550,12506,12312,6028,4151,12312,2.3
147,E07000118,Chorley,Chorley,359189,419724,-2.61921,53.67240143,202492557.9,82595.87578,104277,44919,12724,16445,7493,5942,16445,2.3
148,E07000119,Fylde,Fylde,339562,433812,-2.91901994,53.79710007,164783715.5,83774.63143,74035,34885,12328,12812,4816,3495,12812,2.1
149,E07000120,Hyndburn,Hyndburn,374407,428971,-2.38964009,53.75648117,73163670.26,38630.9896,80088,34341,11061,11449,5336,3990,11449,2.3
150,E07000121,Lancaster,Lancaster,356896,464988,-2.66030002,54.07901001,574219004.5,226548.2387,129433,34341,18838,20790,8281,6734,20790,2.2
151,E07000122,Pendle,Pendle,387637,443368,-2.18956995,53.88636017,169252551.3,72089.55778,88846,37348,12088,12382,5399,4184,12382,2.4
152,E07000123,Preston,Preston,352820,436429,-2.71816993,53.82199097,142611839.5,71795.86146,134392,57567,19835,17505,8486,7154,17505,2.3
153,E07000124,Ribble Valley,Ribble Valley,372687,447676,-2.41739988,53.92449951,584980099.6,137669.1531,55951,24045,6948,8773,3646,3336,8773,2.3
154,E07000125,Rossendale,Rossendale,382827,420955,-2.26149011,53.68478012,137243852.6,65615.36938,67262,29058,8988,10046,4655,3507,10046,2.3
155,E07000126,South Ribble,South Ribble,352016,425840,-2.72872996,53.72674942,113075312.5,78665.39032,108225,46102,12453,17059,7982,6145,17059,2.3
156,E07000127,West Lancashire,West Lancashire,342611,413268,-2.8689301,53.61280823,346147086.9,133989.0185,108689,45381,12226,16340,7415,6482,16340,2.4
157,E07000128,Wyre,Wyre,347227,445159,-2.80462003,53.89990997,281361253.1,144115.7819,105962,47281,14172,18449,6917,5394,18449,2.2
158,E07000129,Blaby,Blaby,454385,297994,-1.19886994,52.5770607,130317477.8,86056.58487,92894,38686,10095,14248,6322,5644,14248,2.4
159,E07000130,Charnwood,Charnwood,458365,316155,-1.13694,52.73989868,278929456.3,101567.4114,158719,66516,18658,23591,10518,9334,23591,2.4
160,E07000131,Harborough,Harborough,474549,293875,-0.90228999,52.53765869,592922758.7,152499.7639,84008,34898,8995,13099,5311,5303,13099,2.4
161,E07000132,Hinckley and Bosworth,Hinckley and Bosworth,439538,301379,-1.41754997,52.60876846,298242892.4,98438.3532,104275,45377,12771,17340,7160,5896,17340,2.3
162,E07000133,Melton,Melton,477328,323472,-0.85439998,52.80329132,480751923.1,124364.9449,49916,21490,5902,8314,3245,2901,8314,2.3
163,E07000134,North West Leicestershire,North West Leicestershire,439111,316252,-1.42209005,52.74250031,279027633.8,102605.4934,92697,39128,10587,14422,6328,5478,14422,2.4
164,E07000135,Oadby and Wigston,Oadby and Wigston,461543,299379,-1.09300005,52.58874893,23185775.85,24729.46462,53765,21339,5488,7335,3295,3316,7335,2.5
165,E07000136,Boston,Boston,526851,343953,-0.11218,52.97793961,364770803.2,134933.9976,63736,27291,7676,10297,4302,3342,10297,2.3
166,E07000137,East Lindsey,East Lindsey,534862,376106,0.020549,53.26483154,1763936680,255068.012,133400,60890,18179,25789,8197,5872,25789,2.2
167,E07000138,Lincoln,Lincoln,496347,370096,-0.55848002,53.21921158,35540927.97,30283.87846,87880,39825,13696,13661,6086,4319,13661,2.2
